CASA,FORA,GOLS_CASA,GOLS_FORA,TEMPORADA
Liverpool,Bournemouth,4,2,2526
Aston Villa,Newcastle,0,0,2526
Brighton,Fulham,1,1,2526
Sunderland,West Ham,3,0,2526
Tottenham,Burnley,3,0,2526
Wolves,Man City,0,4,2526
Chelsea,Crystal Palace,0,0,2526
Nott'm Forest,Brentford,3,1,2526
Man United,Arsenal,0,1,2526
Leeds,Everton,1,0,2526
West Ham,Chelsea,1,5,2526
Man City,Tottenham,0,2,2526
Bournemouth,Wolves,1,0,2526
Brentford,Aston Villa,1,0,2526
Burnley,Sunderland,2,0,2526
Arsenal,Leeds,5,0,2526
Crystal Palace,Nott'm Forest,1,1,2526
Everton,Brighton,2,0,2526
Fulham,Man United,1,1,2526
Newcastle,Liverpool,2,3,2526
Chelsea,Fulham,2,0,2526
Man United,Burnley,3,2,2526
Sunderland,Brentford,2,1,2526
Tottenham,Bournemouth,0,1,2526
Wolves,Everton,2,3,2526
Leeds,Newcastle,0,0,2526
Brighton,Man City,2,1,2526
Nott'm Forest,West Ham,0,3,2526
Liverpool,Arsenal,1,0,2526
Aston Villa,Crystal Palace,0,3,2526
Arsenal,Nott'm Forest,3,0,2526
Bournemouth,Brighton,2,1,2526
Crystal Palace,Sunderland,0,0,2526
Everton,Aston Villa,0,0,2526
Fulham,Leeds,1,0,2526
Newcastle,Wolves,1,0,2526
West Ham,Tottenham,0,3,2526
Brentford,Chelsea,2,2,2526
Burnley,Liverpool,0,1,2526
Man City,Man United,3,0,2526
Liverpool,Everton,2,1,2526
Brighton,Tottenham,2,2,2526
Burnley,Nott'm Forest,1,1,2526
West Ham,Crystal Palace,1,2,2526
Wolves,Leeds,1,3,2526
Man United,Chelsea,2,1,2526
Fulham,Brentford,3,1,2526
Bournemouth,Newcastle,0,0,2526
Sunderland,Aston Villa,1,1,2526
Arsenal,Man City,1,1,2526
Brentford,Man United,3,1,2526
Chelsea,Brighton,1,3,2526
Crystal Palace,Liverpool,2,1,2526
Leeds,Bournemouth,2,2,2526
Man City,Burnley,5,1,2526
Nott'm Forest,Sunderland,0,1,2526
Tottenham,Wolves,1,1,2526
Aston Villa,Fulham,3,1,2526
Newcastle,Arsenal,1,2,2526
Everton,West Ham,1,1,2526
Bournemouth,Fulham,3,1,2526
Leeds,Tottenham,1,2,2526
Arsenal,West Ham,2,0,2526
Man United,Sunderland,2,0,2526
Chelsea,Liverpool,2,1,2526
Aston Villa,Burnley,2,1,2526
Everton,Crystal Palace,2,1,2526
Newcastle,Nott'm Forest,2,0,2526
Wolves,Brighton,1,1,2526
Brentford,Man City,0,1,2526
Nott'm Forest,Chelsea,0,3,2526
Brighton,Newcastle,2,1,2526
Burnley,Leeds,2,0,2526
Crystal Palace,Bournemouth,3,3,2526
Man City,Everton,2,0,2526
Sunderland,Wolves,2,0,2526
Fulham,Arsenal,0,1,2526
Tottenham,Aston Villa,1,2,2526
Liverpool,Man United,1,2,2526
West Ham,Brentford,0,2,2526
Leeds,West Ham,2,1,2526
Chelsea,Sunderland,1,2,2526
Newcastle,Fulham,2,1,2526
Man United,Brighton,4,2,2526
Brentford,Liverpool,3,2,2526
Arsenal,Crystal Palace,1,0,2526
Aston Villa,Man City,1,0,2526
Bournemouth,Nott'm Forest,2,0,2526
Wolves,Burnley,2,3,2526
Everton,Tottenham,0,3,2526
Brighton,Leeds,3,0,2526
Burnley,Arsenal,0,2,2526
Crystal Palace,Brentford,2,0,2526
Fulham,Wolves,3,0,2526
Nott'm Forest,Man United,2,2,2526
Tottenham,Chelsea,0,1,2526
Liverpool,Aston Villa,2,0,2526
West Ham,Newcastle,3,1,2526
Man City,Bournemouth,3,1,2526
Sunderland,Everton,1,1,2526
Tottenham,Man United,2,2,2526
Everton,Fulham,2,0,2526
West Ham,Burnley,3,2,2526
Sunderland,Arsenal,2,2,2526
Chelsea,Wolves,3,0,2526
Aston Villa,Bournemouth,4,0,2526
Brentford,Newcastle,3,1,2526
Crystal Palace,Brighton,0,0,2526
Nott'm Forest,Leeds,3,1,2526
Man City,Liverpool,3,0,2526
Burnley,Chelsea,0,2,2526
Bournemouth,West Ham,2,2,2526
Brighton,Brentford,2,1,2526
Fulham,Sunderland,1,0,2526
Liverpool,Nott'm Forest,0,3,2526
Wolves,Crystal Palace,0,2,2526
Newcastle,Man City,2,1,2526
Leeds,Aston Villa,1,2,2526
Arsenal,Tottenham,4,1,2526
Man United,Everton,0,1,2526
Brentford,Burnley,3,1,2526
Man City,Leeds,3,2,2526
Sunderland,Bournemouth,3,2,2526
Everton,Newcastle,1,4,2526
